source,target,weight
3757197,1959133,1
3757197,1199544,1
7078827,2722841,1
7078827,2595638,1
6684247,6650940,1
6684247,2819016,1
7153155,4305706,1
2532235,118671,1
2532235,226623,1
1103990,118671,1
1722405,3707060,1
8884,7150797,1
8884,6312768,1
1321828,226623,1
2651596,6731733,1
2651596,708801,1
6192651,4305706,1
6830576,395868,1
6830576,2085114,4
6830576,6428323,2
6830576,1812791,1
6830576,4977222,1
6830576,580962,1
6830576,4081137,1
6455896,4483234,1
942853,2724360,1
4978986,1444505,1
1011805,5976250,1
1082529,4452909,1
3563689,226623,1
4044702,6910733,1
3708588,6160410,1
1407387,7139560,1
1407387,3233983,1
5652529,5976250,1
561764,5976250,1
2039211,4830409,1
5858290,6323759,1
5858290,3519994,1
4955631,1609182,1
2738123,3890048,1
4563175,3831362,1
6370831,226623,1
4248367,3208987,2
4248367,514714,1
4248367,3355088,1
4248367,5909629,1
4248367,1015130,1
3200687,3485825,1
3200687,5976250,1
3239539,226623,1
923102,5142420,1
923102,464580,1
1726692,226623,1
4925723,2221256,1
287289,1930229,1
581151,3414043,1
1391349,3407353,1
1521029,6312105,1
6248792,2253492,1
2609377,4610555,1
6723444,2724360,1
7164673,4239058,1
7123874,226623,1
3709041,446994,1
3709041,6267645,1
3709041,5749989,1
3231240,3485825,1
3231240,1906569,1
3231240,7294864,1
3231240,5119695,1
3231240,7357447,1
3231240,4169674,1
3231240,4469333,1
3509908,61061,1
5381813,2695080,1
5381813,5295493,1
4042241,226623,1
2523090,4452909,1
7353782,6753185,1
5882191,7020345,1
495545,2724360,1
3322283,3051663,1
6865823,118397,1
3625702,6418106,1
28580,226623,1
1461841,6185048,1
1461841,226623,1
6438176,7250199,1
532216,5168196,1
532216,5464444,1
611736,4452909,1
1527174,6161522,1
4277133,3831362,1
1136550,226623,1
6288450,226623,1
4705802,3707060,1
916685,2372469,1
6796809,3881897,1
5330391,1739767,1
4721159,226623,1
5568542,226623,1
6641454,466465,1
2743363,1767967,1
2743363,3350093,2
6774553,118671,1
2034816,226623,1
6977598,226623,1
1512869,1886553,1
5270888,226623,1
5850562,4979709,1
5850562,3180553,1
1902848,5002003,1
5763047,226623,1
6398690,7150797,1
1493313,4251083,1
4549668,226623,1
7362744,5168196,1
5767349,226623,1
3908029,2497872,1
2527158,1661229,1
256398,1609182,1
7093408,226623,1
1449040,5976250,1
1670470,4640770,1
3773740,745383,1
339089,1151962,1
6404070,226623,1
739822,226623,1
217420,1575711,1
1565735,2724360,1
882754,4573134,1
1363055,1609182,1
1084344,3707060,1
1084344,2724360,1
6981400,226623,1
2376727,2724360,1
7300406,1188143,1
5270750,226623,1
6860143,226623,1
