source,target,weight
5029092,1372520,1
5029092,6381738,1
923102,1944689,1
7229724,2165708,1
7229724,3670281,1
7229724,3160544,1
7164673,3652176,1
3709041,5233693,1
3709041,1250471,1
3231240,6686338,1
3231240,6932597,1
3231240,5194697,1
3231240,3312442,1
3231240,2650646,1
3231240,5748607,1
3231240,7357447,1
3231240,4585048,1
3231240,503472,1
3231240,2078077,1
5381813,4911351,1
5381813,5884965,2
5381813,2556209,1
3558484,3055839,1
3745968,598245,1
7353782,2929419,1
7353782,4645949,2
3357656,3055839,1
5882191,770662,1
5951197,3055839,1
262120,1372520,1
3096256,5656392,1
28580,6352068,1
6621290,3055839,1
998107,4854246,1
3750752,2775641,1
3750752,129853,1
3750752,2165708,1
3750752,6309179,1
708514,5813700,1
6093736,2024208,1
1360592,3181946,1
532216,1405351,1
532216,3320589,1
532216,4913567,1
1114083,3055839,1
188317,3055839,1
3084306,3989009,1
5103272,4118931,1
1370700,3832292,1
1069350,990297,1
3931541,3505112,1
6852173,3155210,1
2281897,598245,1
2281897,3055839,1
499686,5716320,1
6000053,96542,1
5987887,3055839,1
2612694,5554863,1
194389,3055839,1
5833690,1148024,1
2434958,4280719,1
1165886,2032268,1
1165886,5748607,1
1281113,3155210,1
4165119,6381738,1
4165119,2812140,1
4165119,4815785,1
4165119,4617259,1
200882,3055839,1
4799991,5397096,1
5359165,3055839,1
6978821,1982825,1
79872,5625821,1
79872,2165708,1
5154402,6116163,1
1856374,3155210,1
1856374,2146995,1
1052605,5625821,1
5116538,5479468,1
2174486,3055839,1
3193759,3055839,1
6719217,3055839,1
4748212,5033216,1
2437635,5621392,1
812623,133955,1
2676670,5397096,1
4823250,3989009,1
5270888,3989009,1
5850562,1124629,1
5850562,3788391,1
5363666,6875737,1
5363666,2176246,1
5363666,4715099,1
3256363,6266939,1
1655714,5047758,1
1655714,4645949,2
1655714,6428323,1
1655714,6135659,1
1655714,204058,1
4673238,3055839,1
128944,4358317,1
3483307,6886117,1
5767349,3055839,1
4189035,5625821,1
5766526,4162543,1
1278211,1283567,1
441934,1372520,1
1670470,4609515,1
1670470,4585048,1
3581989,598245,1
6502905,3055839,1
5716428,141482,1
1606002,3832292,1
1606002,4162543,1
1606002,1409191,1
7056252,6932597,1
7056252,3986505,1
7056252,2960853,1
7056252,5672912,1
7056252,3018923,1
2270350,3055839,1
3469666,6350081,1
962615,5813700,1
1613924,4209155,1
1084344,4162543,1
2094140,7247642,1
4087296,3055839,1
7201884,1400659,1
6969984,2698793,1
2011395,3055839,1
1696012,4162543,1
6500514,3160544,1
6589322,3670281,1
27011,2862358,1
27011,27782,1
632920,6350081,1
6660286,3312442,1
6660286,4585048,1
6568833,5552720,1
5691693,5268702,1
5691693,962829,1
5691693,2578277,1
287573,2612635,1
287573,1203809,1
287573,3092267,1
287573,1512372,1
5634006,7357447,1
6711390,5813700,1
5826850,2165708,1
1356102,6886117,1
7238809,5168196,1
4591228,3055839,1
4591228,5813700,1
288452,557884,1
5855726,2253492,1
2487285,1148024,1
4228854,5033216,1
5077436,3055839,1
5251171,3055839,1
5320429,3155210,1
503139,598245,1
503139,2024208,1
6323965,5813700,1
3095321,1372520,1
3095321,3342754,1
3095321,3368761,2
3095321,4566779,1
2827368,598245,1
980526,5583247,1
4037839,6397652,1
6819255,3055839,1
5501705,3730522,1
1079947,5471985,1
4440672,830417,1
3886812,3280462,1
7290862,4742825,1
3679084,7152408,1
2704670,3137558,1
2704670,3333780,1
4123621,7234845,1
6045806,5295580,1
6788845,5625821,1
6788845,3055839,1
1944898,3430716,1
3387709,3055839,1
1362793,3989009,1
476288,4487685,1
476288,1400361,1
3634216,598245,1
3634216,2953324,1
1861762,4513466,1
927247,6234729,1
7248930,5219234,1
5291289,3055839,1
6900863,3786895,1
6623872,3989009,1
3498387,3989009,1
1912808,2530000,1
1912808,2085114,1
5118339,3055839,1
5794925,3137558,1
5093224,218368,1
5093224,1543911,1
3214798,3137558,1
5728117,2838628,1
6770289,3989009,1
7325792,3137558,1
4618490,3989009,1
6708031,5625821,1
6708031,1053990,1
6708031,3428271,1
6708031,3476730,1
6708031,1372520,1
6708031,3628302,1
6708031,6863443,1
6708031,2302893,1
6708031,7407042,1
6708031,2634744,1
6708031,5992100,1
6708031,395868,1
6708031,2371160,1
6708031,6985898,1
6708031,1400361,2
6708031,5842137,1
6708031,4474283,1
6708031,2117468,1
6708031,1533616,1
6708031,1990485,1
6708031,6309179,1
6708031,6858735,1
6708031,3773308,1
6708031,3233983,4
6708031,3945798,1
6708031,6653754,1
6708031,3320589,1
6708031,1995795,1
6708031,5252394,1
6708031,1299325,1
6708031,2539096,1
3594306,580022,1
3594306,2085114,1
3594306,2571452,1
3594306,96542,1
3594306,135380,1
3594306,6322828,1
6586326,5552720,1
5294966,4059245,1
3576337,3989009,1
2651687,4934609,1
2651687,6357256,1
2367376,3055839,1
7301286,4162543,1
3578663,3055839,1
3578663,3616711,1
3578663,5397096,1
4688824,4317698,1
4688824,2163162,1
767220,5813700,1
6891545,1203809,1
1170753,4067982,1
6068830,5784291,1
4054749,4506989,1
625510,3055839,1
2970698,7123019,1
2802083,2683531,1
5686465,4162543,1
1351173,3055839,1
1137406,3055839,1
3251075,3055839,1
3251075,6116163,1
5295349,3055839,1
7140384,598245,1
4470436,3055839,1
1803868,4910822,1
2519531,598245,1
6233050,6151662,1
3907522,598245,1
2838841,6886117,1
2628566,4162543,1
593525,2862358,1
593525,4718954,1
593525,3602312,1
880255,3155210,1
880255,1372520,1
5592819,2068343,1
1540852,4709479,1
6027145,1457422,1
4366138,598245,1
5085246,3055839,1
1830948,3312442,1
1830948,1997110,1
4490218,3055839,1
3107096,3163081,1
3596908,598245,1
6261915,3055839,1
6261915,4162543,1
6010394,1611369,1
6916792,3616711,1
6874750,3055839,1
6117143,5874983,1
45559,3808171,1
3785811,3055839,1
3859323,5813700,1
4591900,3989009,1
2454265,3055839,1
5387269,1148024,1
1048041,6493021,1
7137214,3055839,1
2146644,5304175,1
2146644,7357447,1
4626465,3155210,1
4626465,2118368,1
6622716,5112275,1
3954034,3832292,1
5796509,5223112,1
5796509,4209155,1
6445327,3055839,1
6445327,6870271,1
3773178,6776282,1
3773178,3767856,1
3773178,5295523,1
3773178,1709267,3
3773178,603248,1
3773178,2874413,1
3773178,2085114,2
3773178,6697973,1
3773178,6051650,1
3773178,5495506,1
3773178,4667093,1
3773178,3481190,1
3773178,720872,1
74454,2612635,1
74454,1518109,1
74454,5748607,1
74454,243821,1
4371778,1981318,1
4371778,4209155,1
1683713,4209155,1
1364234,4566779,1
5473357,3055839,1
4244015,7357447,1
6598956,5625821,1
898826,3155210,1
3476191,3106372,1
2568254,5625821,1
2568254,5479468,1
2568254,3155210,1
2568254,557492,1
2568254,829554,1
2568254,2923892,1
2568254,2165708,2
2568254,598245,1
2568254,1417810,1
372179,7022759,2
3299168,4974426,1
5650228,4487685,1
5136080,6877069,1
5136080,146752,1
4247006,5247976,1
4247006,3640703,1
6966015,3055839,1
2333020,3055839,1
4405108,598245,1
6767292,5813700,1
4464456,6381738,1
3620682,5707380,1
1139193,3055839,1
1954577,2165708,1
5996372,4872815,1
5737427,3155210,1
1544261,3989009,1
4455178,6448658,1
1039387,4256374,1
