Parent_Location,Region,Topic,Popularity
worldwide,Japan,global_warming,28.0
worldwide,Türkiye,global_warming,27.0
worldwide,Guinea-Bissau,global_warming,0.0
worldwide,Tonga,global_warming,0.0
worldwide,Chile,global_warming,24.0
worldwide,St Martin,global_warming,0.0
worldwide,French Polynesia,global_warming,0.0
worldwide,Equatorial Guinea,global_warming,0.0
worldwide,Mongolia,global_warming,0.0
worldwide,French Guiana,global_warming,0.0
worldwide,New Caledonia,global_warming,0.0
worldwide,Bhutan,global_warming,0.0
worldwide,Albania,global_warming,0.0
worldwide,Mauritania,global_warming,0.0
worldwide,Fiji,global_warming,0.0
worldwide,Marshall Islands,global_warming,0.0
worldwide,Guadeloupe,global_warming,0.0
worldwide,Greenland,global_warming,0.0
worldwide,Palau,global_warming,0.0
worldwide,Martinique,global_warming,0.0
worldwide,St Pierre & Miquelon,global_warming,0.0
worldwide,Samoa,global_warming,0.0
worldwide,Cuba,global_warming,0.0
worldwide,Tunisia,global_warming,16.0
worldwide,Jordan,global_warming,16.0
worldwide,Paraguay,global_warming,0.0
worldwide,Réunion,global_warming,0.0
worldwide,France,global_warming,14.0
worldwide,Rwanda,global_warming,0.0
worldwide,Uruguay,global_warming,14.0
worldwide,Timor-Leste,global_warming,0.0
worldwide,Portugal,global_warming,14.0
worldwide,Taiwan,global_warming,14.0
worldwide,American Samoa,global_warming,0.0
worldwide,Norway,global_warming,13.0
worldwide,Sierra Leone,global_warming,0.0
worldwide,Belize,global_warming,0.0
worldwide,Argentina,global_warming,12.0
worldwide,Zimbabwe,global_warming,0.0
worldwide,Bahrain,global_warming,0.0
worldwide,Macao,global_warming,0.0
worldwide,Vietnam,global_warming,12.0
worldwide,Belgium,global_warming,12.0
worldwide,Uzbekistan,global_warming,0.0
worldwide,Denmark,global_warming,11.0
worldwide,Kazakhstan,global_warming,11.0
worldwide,Mauritius,global_warming,0.0
worldwide,Philippines,global_warming,11.0
worldwide,Lesotho,global_warming,0.0
worldwide,Ethiopia,global_warming,0.0
